method,olaf_arendelle_tour_complete_derailment,olaf_arendelle_tour_medium_derailment,olaf_arendelle_tour_no_derailment,olaf_first_summer_picnic_complete_derailment,olaf_first_summer_picnic_medium_derailment,olaf_first_summer_picnic_no_derailment,olaf_frozen_adventure_traditions_complete_derailment,olaf_frozen_adventure_traditions_medium_derailment,olaf_frozen_adventure_traditions_no_derailment,olaf_lost_lantern_adventure_complete_derailment,olaf_lost_lantern_adventure_medium_derailment,olaf_lost_lantern_adventure_no_derailment,olaf_lost_snowflake_complete_derailment,olaf_lost_snowflake_medium_derailment,olaf_lost_snowflake_no_derailment,olaf_makes_anna_smile_complete_derailment,olaf_makes_anna_smile_medium_derailment,olaf_makes_anna_smile_no_derailment,olaf_once_upon_a_snowman_origin_complete_derailment,olaf_once_upon_a_snowman_origin_medium_derailment,olaf_once_upon_a_snowman_origin_no_derailment,olaf_presents_ocean_adventure_complete_derailment,olaf_presents_ocean_adventure_medium_derailment,olaf_presents_ocean_adventure_no_derailment,olaf_retells_red_riding_hood_complete_derailment,olaf_retells_red_riding_hood_medium_derailment,olaf_retells_red_riding_hood_no_derailment,olaf_winter_festival_surprise_complete_derailment,olaf_winter_festival_surprise_medium_derailment,olaf_winter_festival_surprise_no_derailment
director,5.0,6.0,,,6.0,9.0,4.0,4.0,8.0,4.0,7.0,7.0,4.0,7.0,8.7,4.0,5.0,5.0,5.0,6.0,8.0,5.0,,8.7,6.5,8.0,9.0,5.0,5.0,9.0
codi,3.0,4.0,4.0,5.0,4.0,5.0,7.0,5.0,4.0,3.0,6.0,6.0,4.0,4.0,4.0,4.0,3.0,6.0,4.0,5.0,,3.0,3.0,6.0,,7.7,3.0,4.0,,4.0
